vin,model,defect_score,timestamp,plant,trim,engine_type,production_date,shift,torque_nm,qc_score,test_pass,defects_count,defect_type,warranty_claim,supplier_code,batch_id,operator_id
"VIN_000063","Beta","3.8640000000000003","2026-05-06T10:39:13.020Z","Solihull","Premium","Diesel","2026-05-01T10:39:13.021Z","Night","2.2365","5.4495000000000005","false","0.24150000000000002","Paint","true","SUP_D","BATCH_0010","OP_1002"
"VIN_000027","Delta","8.362506664671285","2026-02-19T10:39:13.022Z","Swindon","Sport","Petrol","2026-01-03T10:39:13.023Z","Night","8.87","2.82","true","4.9","Electrical","true","SUP_E","BATCH_0004","OP_1037"
"VIN_000145","Gamma","9.504973797743297","2026-01-21T10:39:13.022Z","Oxford","Sport","Diesel","2026-05-24T10:39:13.020Z","Night","2.0614999999999997","1.216","true","2.565","Assembly","true","SUP_A","BATCH_0001","OP_1007"
"VIN_000109","Alpha","6.685362491053694","2026-05-04T10:39:13.020Z","Birmingham","Base","Hybrid","2026-03-29T10:39:13.021Z","Night","4.473","5.439","true","6.940500000000001","Weld","false","SUP_D","BATCH_0006","OP_1002"
"VIN_000129","Gamma","1.0096350734820343","2025-11-13T10:39:13.023Z","Birmingham","Premium","Petrol","2026-04-17T10:39:13.021Z","Afternoon","9.31","1.02","true","7.05","Weld","false","SUP_H","BATCH_0012","OP_1039"
"VIN_000015","Delta","7.212755705045849","2026-01-31T10:39:13.022Z","Oxford","Luxury","EV","2026-02-06T10:39:13.022Z","Day","0.17099999999999999","8.2175","true","4.122999999999999","Weld","true","SUP_B","BATCH_0015","OP_1019"
"VIN_000192","Gamma","0.24469094211857378","2026-02-01T10:39:13.022Z","Birmingham","Base","Petrol","2025-12-14T10:39:13.023Z","Afternoon","5.922","0.0945","false","6.048","Weld","false","SUP_D","BATCH_0019","OP_1034"
"VIN_000072","Gamma","5.965410264855516","2025-12-02T10:39:13.023Z","Birmingham","Base","Hybrid","2026-05-04T10:39:13.020Z","Afternoon","9.43","3.76","true","9.21","Electrical","false","SUP_D","BATCH_0011","OP_1046"
"VIN_000155","Gamma","0.9383865585100403","2026-01-16T10:39:13.022Z","Swindon","Premium","Hybrid","2026-05-04T10:39:13.020Z","Afternoon","0.5509999999999999","4.997","true","6.289","Paint","true","SUP_D","BATCH_0001","OP_1043"
"VIN_000143","Alpha","7.021596541049321","2025-12-06T10:39:13.023Z","Oxford","Sport","Hybrid","2026-05-11T10:39:13.020Z","Night","9.933000000000002","10.4265","false","3.3600000000000003","Electrical","true","SUP_C","BATCH_0010","OP_1009"
"VIN_000198","Gamma","3.229021130325903","2026-03-15T10:39:13.021Z","Swindon","Luxury","Petrol","2025-12-24T10:39:13.023Z","Night","8.97","9.93","true","9.96","Paint","true","SUP_G","BATCH_0002","OP_1002"
"VIN_000133","Gamma","0.05764574501457377","2025-12-16T10:39:13.023Z","Oxford","Sport","Diesel","2026-04-08T10:39:13.021Z","Afternoon","6.6499999999999995","0.76","true","1.634","Assembly","true","SUP_J","BATCH_0019","OP_1009"
"VIN_000045","Delta","3.3694605345685655","2026-05-14T10:39:13.020Z","Birmingham","Luxury","EV","2025-12-24T10:39:13.023Z","Night","8.746500000000001","8.799000000000001","true","3.9060000000000006","Paint","true","SUP_D","BATCH_0017","OP_1008"
"VIN_000004","Alpha","7.389960534568566","2026-05-18T10:39:13.020Z","Swindon","Sport","Petrol","2025-11-28T10:39:13.023Z","Day","8.01","6.36","true","5.07","Weld","true","SUP_J","BATCH_0013","OP_1049"
"VIN_000197","Gamma","9.519645745014573","2025-11-19T10:39:13.023Z","Swindon","Luxury","EV","2026-03-01T10:39:13.022Z","Night","0.17099999999999999","0.08549999999999999","false","3.1065","None","true","SUP_A","BATCH_0013","OP_1003"
"VIN_000181","Alpha","9.637021130325904","2025-12-19T10:39:13.023Z","Birmingham","Sport","Hybrid","2026-05-18T10:39:13.020Z","Night","10.479000000000001","7.1610000000000005","false","4.473","Paint","true","SUP_C","BATCH_0018","OP_1029"
"VIN_000153","Delta","8.918096541049321","2026-04-19T10:39:13.021Z","Birmingham","Base","EV","2025-12-24T10:39:13.023Z","Day","0.87","0.12","true","1.05","Electrical","true","SUP_A","BATCH_0015","OP_1012"
"VIN_000095","Alpha","0.054886558510040304","2026-02-20T10:39:13.022Z","Birmingham","Luxury","Petrol","2026-03-24T10:39:13.021Z","Night","3.6479999999999997","2.8785","true","7.961","Weld","true","SUP_C","BATCH_0000","OP_1028"
"VIN_000114","Gamma","10.515410264855516","2025-12-06T10:39:13.023Z","Birmingham","Luxury","Diesel","2026-03-05T10:39:13.022Z","Day","10.479000000000001","2.121","false","4.3365","Paint","false","SUP_F","BATCH_0007","OP_1014"
"VIN_000135","Delta","0.4136909421185738","2026-03-13T10:39:13.021Z","Swindon","Luxury","Petrol","2026-01-22T10:39:13.022Z","Night","0.18","9.93","false","4.91","None","false","SUP_A","BATCH_0000","OP_1017"
"VIN_000180","Delta","3.5932557050458493","2025-11-12T10:39:13.023Z","Birmingham","Premium","Diesel","2026-05-05T10:39:13.020Z","Day","5.1964999999999995","4.389","true","1.2445","Weld","true","SUP_A","BATCH_0000","OP_1009"
"VIN_000106","Gamma","7.548635073482034","2026-02-04T10:39:13.022Z","Oxford","Premium","Diesel","2026-04-11T10:39:13.021Z","Night","3.3075","6.2685","true","7.707","Assembly","false","SUP_D","BATCH_0005","OP_1013"
"VIN_000149","Gamma","8.027362491053694","2026-02-22T10:39:13.022Z","Oxford","Luxury","Diesel","2026-02-18T10:39:13.022Z","Afternoon","2.42","2.54","true","2.86","Paint","false","SUP_A","BATCH_0007","OP_1032"
"VIN_000196","Gamma","5.932973797743297","2026-02-21T10:39:13.022Z","Oxford","Premium","EV","2025-12-28T10:39:13.023Z","Day","1.767","3.0494999999999997","true","0.2185","Electrical","false","SUP_I","BATCH_0005","OP_1005"
"VIN_000173","Delta","10.502506664671285","2026-02-23T10:39:13.022Z","Birmingham","Premium","EV","2026-02-09T10:39:13.022Z","Night","4.809","10.4265","true","4.9035","Weld","true","SUP_H","BATCH_0019","OP_1002"
"VIN_000083","Delta","0.04","2026-01-26T10:39:13.022Z","Oxford","Premium","Diesel","2026-03-20T10:39:13.021Z","Afternoon","5.98","9.93","true","5.77","None","true","SUP_E","BATCH_0005","OP_1028"
"VIN_000018","Beta","3.540993335328714","2026-01-05T10:39:13.023Z","Swindon","Sport","Petrol","2026-04-12T10:39:13.021Z","Night","3.8285","7.409999999999999","false","4.484","Electrical","true","SUP_B","BATCH_0001","OP_1019"
"VIN_000131","Delta","7.1770262022567035","2025-11-08T10:39:13.023Z","Swindon","Sport","Hybrid","2025-12-17T10:39:13.023Z","Day","5.670000000000001","7.612500000000001","false","1.5015","Paint","false","SUP_C","BATCH_0010","OP_1000"
"VIN_000020","Gamma","1.4226375089463064","2026-01-13T10:39:13.022Z","Oxford","Premium","Petrol","2025-11-26T10:39:13.023Z","Day","5.92","9.93","false","6.14","Electrical","true","SUP_J","BATCH_0005","OP_1025"
"VIN_000188","Gamma","3.1253649265179653","2026-01-01T10:39:13.023Z","Birmingham","Premium","Petrol","2025-11-06T10:39:13.023Z","Night","4.845","3.23","true","9.462","Electrical","true","SUP_B","BATCH_0019","OP_1040"
"VIN_000102","Delta","6.225244294954152","2026-04-27T10:39:13.021Z","Oxford","Sport","Hybrid","2026-04-21T10:39:13.021Z","Night","4.116","5.523","true","0.24150000000000002","Electrical","true","SUP_F","BATCH_0003","OP_1000"
"VIN_000091","Gamma","1.2363090578814262","2026-03-10T10:39:13.021Z","Birmingham","Sport","Petrol","2026-05-04T10:39:13.020Z","Afternoon","0.18","9.1","false","6.86","Electrical","false","SUP_E","BATCH_0004","OP_1035"
"VIN_000033","Delta","1.077089735144484","2025-12-29T10:39:13.023Z","Oxford","Luxury","EV","2026-01-02T10:39:13.023Z","Afternoon","6.726","3.876","true","3.306","Electrical","false","SUP_J","BATCH_0008","OP_1019"
"VIN_000198","Beta","4.44561344148996","2025-12-10T10:39:13.023Z","Oxford","Base","Hybrid","2026-03-15T10:39:13.021Z","Night","10.216500000000002","10.4265","false","0.42000000000000004","Electrical","false","SUP_C","BATCH_0007","OP_1026"
"VIN_000006","Alpha","0.5619034589506796","2025-12-12T10:39:13.023Z","Swindon","Sport","Diesel","2026-02-23T10:39:13.022Z","Day","4.15","7.54","true","9.96","Weld","false","SUP_G","BATCH_0011","OP_1040"
"VIN_000013","Delta","3.514978869674097","2026-03-11T10:39:13.021Z","Swindon","Sport","EV","2026-02-12T10:39:13.022Z","Afternoon","5.567","9.433499999999999","true","8.588","Paint","false","SUP_B","BATCH_0013","OP_1002"
"VIN_000006","Alpha","0.022354254985426227","2026-01-19T10:39:13.022Z","Swindon","Luxury","EV","2026-04-28T10:39:13.021Z","Night","0.189","4.0215000000000005","true","10.458000000000002","None","true","SUP_E","BATCH_0005","OP_1036"
"VIN_000106","Beta","9.980039465431435","2026-02-18T10:39:13.022Z","Swindon","Luxury","Hybrid","2026-03-11T10:39:13.021Z","Day","0.18","9.93","true","0.95","Paint","true","SUP_G","BATCH_0007","OP_1026"
"VIN_000190","Beta","9.480039465431435","2025-11-27T10:39:13.023Z","Swindon","Base","Petrol","2025-11-24T10:39:13.023Z","Day","9.481","5.89","true","4.246499999999999","None","true","SUP_G","BATCH_0010","OP_1028"
"VIN_000167","Alpha","3.3403542549854266","2026-04-20T10:39:13.021Z","Solihull","Sport","Diesel","2026-02-02T10:39:13.022Z","Day","6.8565000000000005","5.5545","true","2.457","None","true","SUP_H","BATCH_0006","OP_1045"
"VIN_000178","Delta","9.980978869674097","2026-05-04T10:39:13.020Z","Birmingham","Luxury","EV","2025-12-22T10:39:13.023Z","Afternoon","0.34","6.8","true","1.2","Electrical","true","SUP_C","BATCH_0001","OP_1020"
"VIN_000140","Delta","7.230403458950679","2026-04-26T10:39:13.021Z","Swindon","Base","Petrol","2026-02-12T10:39:13.022Z","Day","3.0494999999999997","6.982499999999999","true","0.2185","None","true","SUP_H","BATCH_0016","OP_1002"
"VIN_000014","Delta","4.0571134414899594","2025-12-09T10:39:13.023Z","Birmingham","Base","Diesel","2025-12-03T10:39:13.023Z","Afternoon","8.368500000000001","4.5675","false","10.458000000000002","Electrical","false","SUP_A","BATCH_0019","OP_1047"
"VIN_000088","Gamma","9.984589735144484","2025-12-20T10:39:13.023Z","Oxford","Luxury","EV","2026-01-09T10:39:13.023Z","Afternoon","2.89","0.09","false","8.37","Paint","true","SUP_H","BATCH_0017","OP_1038"
"VIN_000003","Alpha","7.576809057881426","2025-12-11T10:39:13.023Z","Solihull","Base","Diesel","2025-11-21T10:39:13.023Z","Night","1.6815","2.831","false","9.462","Electrical","false","SUP_C","BATCH_0001","OP_1001"
"VIN_000050","Gamma","6.067744294954151","2026-04-22T10:39:13.021Z","Solihull","Sport","Hybrid","2026-02-10T10:39:13.022Z","Day","1.764","4.221","false","7.056","Paint","false","SUP_A","BATCH_0019","OP_1039"
"VIN_000096","Delta","1.6103649265179658","2026-03-03T10:39:13.022Z","Solihull","Luxury","EV","2025-12-30T10:39:13.023Z","Day","4.65","0.09","false","3.9","Electrical","true","SUP_G","BATCH_0002","OP_1009"
"VIN_000145","Alpha","3.6121375089463066","2025-11-11T10:39:13.023Z","Swindon","Luxury","Diesel","2026-04-23T10:39:13.021Z","Afternoon","2.622","2.28","true","6.108499999999999","Paint","true","SUP_B","BATCH_0006","OP_1035"
"VIN_000145","Beta","1.6960262022567032","2026-05-12T10:39:13.020Z","Swindon","Sport","Hybrid","2025-12-05T10:39:13.023Z","Afternoon","1.5225","10.4265","false","10.458000000000002","None","true","SUP_I","BATCH_0003","OP_1023"
"VIN_000059","Alpha","6.037493335328714","2026-01-31T10:39:13.022Z","Swindon","Premium","Diesel","2025-11-29T10:39:13.023Z","Day","8.74","4.21","true","0.23","None","false","SUP_C","BATCH_0001","OP_1034"
"VIN_000001","Delta","3.7239999999999998","2026-03-18T10:39:13.021Z","Solihull","Premium","EV","2025-12-02T10:39:13.023Z","Day","0.17099999999999999","3.876","false","2.0044999999999997","Assembly","false","SUP_F","BATCH_0005","OP_1026"
"VIN_000052","Delta","8.696506664671285","2026-03-16T10:39:13.021Z","Oxford","Base","Petrol","2026-05-14T10:39:13.020Z","Night","6.804000000000001","1.5855000000000001","false","0.24150000000000002","Weld","false","SUP_B","BATCH_0019","OP_1006"
"VIN_000139","Gamma","5.5649737977432965","2026-05-16T10:39:13.020Z","Swindon","Base","Diesel","2026-01-26T10:39:13.022Z","Day","4.54","4.84","true","0.23","Weld","true","SUP_B","BATCH_0002","OP_1025"
"VIN_000129","Gamma","9.507362491053694","2026-04-29T10:39:13.021Z","Oxford","Luxury","EV","2026-03-07T10:39:13.021Z","Night","5.567","9.433499999999999","true","6.108499999999999","Electrical","true","SUP_C","BATCH_0018","OP_1042"
"VIN_000065","Gamma","3.8631350734820344","2026-05-12T10:39:13.020Z","Birmingham","Sport","Diesel","2026-02-11T10:39:13.022Z","Afternoon","9.880500000000001","3.8220000000000005","false","5.1765","None","true","SUP_J","BATCH_0018","OP_1029"
"VIN_000067","Gamma","1.1417557050458493","2025-12-02T10:39:13.023Z","Birmingham","Premium","EV","2026-04-17T10:39:13.021Z","Afternoon","9.98","9.93","true","3.59","Paint","false","SUP_A","BATCH_0018","OP_1033"
"VIN_000010","Alpha","9.086190942118574","2026-05-01T10:39:13.021Z","Birmingham","Luxury","Petrol","2025-11-29T10:39:13.023Z","Afternoon","4.6265","5.567","true","2.6125","Paint","false","SUP_A","BATCH_0015","OP_1036"
"VIN_000074","Delta","1.1074102648555157","2026-04-19T10:39:13.021Z","Oxford","Luxury","Hybrid","2026-04-04T10:39:13.021Z","Afternoon","4.168500000000001","9.7125","true","9.775500000000001","Weld","false","SUP_A","BATCH_0009","OP_1016"
"VIN_000172","Beta","5.81688655851004","2026-03-07T10:39:13.021Z","Swindon","Base","Hybrid","2026-04-28T10:39:13.021Z","Day","5.13","6.29","true","6.55","None","false","SUP_E","BATCH_0015","OP_1005"
"VIN_000108","Gamma","9.51809654104932","2026-05-15T10:39:13.020Z","Swindon","Luxury","Diesel","2026-05-09T10:39:13.020Z","Afternoon","2.964","0.532","false","5.956499999999999","Assembly","true","SUP_A","BATCH_0016","OP_1008"
"VIN_000087","Beta","8.944021130325904","2026-05-12T10:39:13.020Z","Solihull","Premium","Diesel","2025-12-28T10:39:13.023Z","Night","8.2215","5.7330000000000005","true","7.728000000000001","Weld","false","SUP_I","BATCH_0004","OP_1003"
"VIN_000058","Alpha","8.219645745014573","2026-02-16T10:39:13.022Z","Solihull","Base","Petrol","2026-04-01T10:39:13.021Z","Day","1.93","1.59","true","4.94","Assembly","true","SUP_H","BATCH_0005","OP_1024"
"VIN_000022","Gamma","5.073960534568566","2026-05-21T10:39:13.020Z","Solihull","Premium","EV","2026-04-04T10:39:13.021Z","Day","6.973","4.8355","false","4.9875","Weld","false","SUP_F","BATCH_0002","OP_1017"
"VIN_000197","Beta","10.519960534568565","2026-05-19T10:39:13.020Z","Swindon","Luxury","EV","2026-04-07T10:39:13.021Z","Afternoon","9.6285","0.2205","true","0.336","Paint","false","SUP_F","BATCH_0004","OP_1043"
"VIN_000132","Delta","5.579645745014574","2025-11-08T10:39:13.023Z","Oxford","Base","Petrol","2026-05-11T10:39:13.020Z","Afternoon","9.98","9.93","true","0.23","Assembly","false","SUP_E","BATCH_0011","OP_1024"
